,PWSID,COUNTY_SERVED
77791,NC0136402,
77890,AZ0415356,
77891,AZ0415356,La Paz
78036,NC0291125,
78120,OR4194233,Wasco
78258,IN5226012,
78261,IN5226012,Gibson
78285,NC0291125,Vance
78817,ME0091830,Washington
78818,ME0091830,
78896,NJ1709332,
78900,NJ1709332,Salem
80117,MS0250007,Hinds
81621,ARN000020,Union
81814,TX1520306,Lubbock
82733,MS0140049,Coahoma
82749,ME0001009,York
82765,ME0001009,
82908,NC0498529,
82909,NC0498529,Wilson
83292,MS0230016,Hancock
83444,AK2224337,Matanuska-Susitna Borough
83447,AK2224337,
83454,AK2260595,Aleutians West Census Area
83456,AK2260595,
83860,NJ0614345,
83877,ME0015106,Hancock
83878,ME0015106,
83977,TX1650086,Midland
83991,ME0090940,Aroostook
83992,ME0090940,
84105,NE3150496,
84106,NE3150496,Merrick
84941,MI2014280,Van Buren
85192,ME0095659,York
85193,ME0095659,
85219,ME0090990,Penobscot
85220,ME0090990,
85269,NE3120543,Polk
85270,NE3120543,
85585,NC0105417,
85586,NC0105417,Ashe
86321,PA1090925,Bucks
86447,ME0006203,Aroostook
86448,ME0006203,
86461,ME0091280,Somerset
86462,ME0091280,
86465,ME0005693,Somerset
86466,ME0005693,
86694,MS0140006,Coahoma
86947,NC0111109,Buncombe
86948,NC0111109,
86980,MS0110028,Claiborne
88582,NV0005061,Washoe
89488,CA2701057,Monterey
89729,PA2080014,Bradford
89900,ME0001006,York
89901,ME0001006,
90001,ME0091000,Piscataquis
90254,ME0091000,
90535,WA5310600,Island
90536,WA5312636,Island
90539,WA5366588,Island
90540,WA5307700,Island
90969,TX1650006,Midland
91176,PA6200987,Crawford
91329,NC0118319,Catawba
91331,NC0118319,
91467,OH3533012,Henry
91632,WA5309570,Yakima
91646,WA53AD263,Yakima
91671,IA8222611,
91672,IA8222611,Scott
91680,PA5020837,Allegheny
91700,ME0092711,Knox
91701,ME0092711,
91939,ME0392711,Knox
91940,ME0392711,
92030,ME0095679,Kennebec
92031,ME0095679,
92299,ID3440023,Washington
92808,NC0197542,
92809,NC0197542,Wilkes
92857,OK3001677,Comanche
93049,NJ0606304,Cumberland
93050,NJ0606304,
93884,WA5369036,Skagit
94069,PA3060023,Berks
94447,ME0090730,
94452,ME0002539,Washington
95092,TX1520138,Lubbock
95099,TX1520223,Lubbock
95312,NC0149604,
95313,NC0149604,Iredell
95846,NC0122124,Clay
95847,NC0122124,
95866,WA5330984,Skagit
96013,GA1330078,Greene
96014,GA1330078,
96455,GA0450000,Carroll
96456,GA0450000,
97201,NC0120433,Cherokee
97203,NC0120433,
97778,AL0001790,Coosa
97779,AL0001790,
97911,WA5301429,Island
97941,AK2260058,Aleutians West Census Area
97950,AK2223624,Matanuska-Susitna Borough
97951,AK2223624,
97952,AK2291130,Valdez-Cordova Census Area
97953,AK2291130,
98921,AK2211114,Anchorage Municipality
98922,AK2211114,
99063,NY0400892,
99064,NY0400892,Cattaraugus
99109,WA5328575,Island
99120,WA5376300,Island
99130,WA5304980,Island
99145,WA5305926,Island
99510,PA7360307,Lancaster
99650,NC0392291,
99651,NC0392291,Wake
99958,MS0300033,Jackson
99965,MS0280009,Issaquena
99967,MS0300009,Jackson
99968,MS0300012,Jackson
100092,WA5336705,Jefferson
100352,WA5390700,King
100354,WA5311180,King
100613,NC0106479,Avery
100614,NC0106479,
101317,AK2330031,North Slope Borough
101318,AK2330031,
102053,NC0427117,
102196,WA5324190,Snohomish
103156,PA7360857,Lancaster
103701,GA1070002,Emanuel
104353,IA8222609,
104354,IA8222609,Scott
104355,IA8222610,
104356,IA8222610,Scott
105255,NY0812283,
105256,NY0812283,Chenango
105271,GA0470001,Catoosa
105272,GA0470001,
105273,GA0470002,Catoosa
105274,GA0470002,
105284,GA0490017,Charlton
105285,GA0490017,
105292,GA0510002,Chatham
105293,GA0510002,
105296,GA0510004,Chatham
105501,NJ0113323,
105502,NJ0113323,Atlantic
106037,NE3192103,
106038,NE3192103,Custer
106414,NC0416181,Carteret
106415,NC0416181,
107026,WA5355205,Snohomish
107183,NC0181606,Rutherford
107184,NC0181606,
107323,WA5333489,Ferry
107324,WA53SP200,Ferry
107645,PA1091369,Bucks
107653,GA2910000,Union
